epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30999,1.8115,3.28692,2.27547,0.00222,0.66667,0.23387,0.23387,0.71538,3.12042,1.19237,0,0,0
2,4.59256,1.68233,2.70418,1.94542,0.00222,0.66667,0.17804,0.16484,0.75337,3.11164,1.2154,1.9604e-05,1.9604e-05,1.9604e-05
3,7.12204,1.55265,2.96398,2.1823,0.00333,1,0.22569,0.2004,0.79767,3.08813,1.24916,3.8416e-05,3.8416e-05,3.8416e-05
4,9.27689,1.09255,2.60396,1.57031,0.00222,0.66667,0.55537,0.27984,0.7006,3.09181,1.17567,5.6436e-05,5.6436e-05,5.6436e-05
5,11.4423,0.72101,2.55794,1.35641,0.00333,1,0.66831,0.55655,0.45839,3.11894,0.96924,7.3664e-05,7.3664e-05,7.3664e-05
6,13.6736,0.72163,3.14754,1.42303,0.00333,1,0.67059,0.63446,0.43949,3.12884,0.94238,9.01e-05,9.01e-05,9.01e-05
7,15.4427,1.03044,2.51908,1.51367,0.00333,1,0.68652,0.63724,0.49611,3.12009,0.98217,0.000105744,0.000105744,0.000105744
8,17.3807,1.00787,2.33711,1.53874,0.00333,1,0.695,0.64422,0.52858,3.08638,1.01414,0.000120596,0.000120596,0.000120596
9,19.4135,1.20858,2.18545,1.70219,0.00333,1,0.74115,0.63174,0.50467,3.07373,1.01636,0.000134656,0.000134656,0.000134656
10,21.2531,0.81914,2.09607,1.37399,0.00333,1,0.755,0.63801,0.56466,3.03654,1.05167,0.000147924,0.000147924,0.000147924
11,23.0668,0.94591,2.26195,1.41229,0.00333,1,0.755,0.66044,0.63427,2.95583,1.15358,0.0001604,0.0001604,0.0001604
12,25.0192,0.89713,1.62901,1.447,0.00333,1,0.9125,0.7224,0.72035,2.90058,1.21649,0.000172084,0.000172084,0.000172084
13,26.9113,0.69553,1.59127,1.15043,0.00333,1,0.9125,0.70468,0.70355,2.83079,1.27218,0.000182976,0.000182976,0.000182976
14,28.7616,1.3143,1.88935,1.65095,0.00333,1,0.9125,0.67261,0.8218,2.7359,1.32365,0.000193076,0.000193076,0.000193076
15,30.6488,0.84265,1.57038,1.47019,0.00333,1,0.9125,0.68907,0.77652,2.69361,1.25161,0.000202384,0.000202384,0.000202384
16,32.4736,1.26194,2.29883,1.56906,0.00333,1,0.9125,0.70586,0.80267,2.6712,1.24145,0.0002109,0.0002109,0.0002109
17,34.2541,1.7096,2.29743,1.94595,0.00333,1,0.9125,0.78861,0.76415,2.68261,1.19732,0.000218624,0.000218624,0.000218624
18,35.9954,0.50585,1.19926,1.05823,0.00333,1,0.9125,0.78861,0.76415,2.68261,1.19732,0.000225556,0.000225556,0.000225556
19,37.8008,1.13926,1.52238,1.62102,0.00333,1,0.9125,0.77182,0.69764,2.71346,1.12358,0.000231696,0.000231696,0.000231696
